user_id,home_city,preferred_device,account_age_days,signup_date,ip_risk_band,baseline_tx_mean_gbp,baseline_tx_std_gbp,is_night_owl
U000086,Leicester,mobile,35,2026-01-12,low,117.14,26.71,0
U000087,Glasgow,mobile,232,2025-06-29,low,111.63,30.1,0
U000088,Birmingham,desktop,473,2024-10-31,low,25.33,7.04,0
U000089,Leeds,mobile,11,2026-02-05,low,73.55,22.23,0
U000090,London,desktop,331,2025-03-22,low,30.74,11.86,1
U000091,Leicester,tablet,104,2025-11-04,low,51.13,19.17,0
U000092,Liverpool,mobile,162,2025-09-07,low,44.86,10.18,0
U000093,Bristol,mobile,660,2024-04-27,low,115.02,26.98,0
U000094,Liverpool,mobile,100,2025-11-08,low,78.59,21.34,0
U000095,Leeds,desktop,156,2025-09-13,low,36.34,9.38,0
U000096,Bristol,mobile,3,2026-02-13,low,119.59,38.62,0
U000097,Leeds,mobile,21,2026-01-26,medium,33.5,12.75,0
U000098,London,desktop,74,2025-12-04,low,88.37,34.68,0
U000099,London,mobile,7,2026-02-09,medium,47.1,15.58,0
U000100,London,desktop,249,2025-06-12,low,60.27,22.16,0
U000101,Glasgow,mobile,138,2025-10-01,low,97.26,29.67,0
U000102,London,mobile,198,2025-08-02,low,98.18,23.73,0
U000103,Leeds,mobile,47,2025-12-31,medium,153.75,46.88,0
U000104,Birmingham,desktop,87,2025-11-21,low,70.44,21.91,0
U000105,London,mobile,272,2025-05-20,low,87.23,30.4,1
U000106,Manchester,desktop,840,2023-10-30,low,57.93,14.13,1
U000107,Liverpool,desktop,12,2026-02-04,low,81.46,22.29,0
U000108,London,mobile,552,2024-08-13,low,93.85,25.6,0
U000109,London,tablet,215,2025-07-16,medium,69.82,27.36,0
U000110,London,mobile,207,2025-07-24,medium,27.33,7.89,0
U000111,London,mobile,173,2025-08-27,low,88.44,31.04,0
U000112,Birmingham,mobile,17,2026-01-30,medium,90.06,31.54,0
U000113,Liverpool,desktop,23,2026-01-24,low,50.7,12.83,0
U000114,Glasgow,mobile,229,2025-07-02,low,36.36,11.43,0
U000115,Birmingham,mobile,104,2025-11-04,low,165.96,62.87,0
U000116,Liverpool,mobile,623,2024-06-03,low,96.57,28.49,0
U000117,London,mobile,130,2025-10-09,high,64.98,25.28,0
U000118,Birmingham,mobile,38,2026-01-09,low,39.43,9.58,0
U000119,Bristol,desktop,313,2025-04-09,low,46.9,10.08,0
U000120,Liverpool,desktop,86,2025-11-22,low,150.87,57.07,0
U000121,Birmingham,mobile,186,2025-08-14,low,79.5,29.38,0
U000122,London,tablet,299,2025-04-23,low,54.44,21.7,0
U000123,London,mobile,576,2024-07-20,high,97.55,32.76,0
U000124,London,tablet,392,2025-01-20,low,47.09,18.24,0
U000125,Leeds,mobile,282,2025-05-10,low,168.25,61.48,0
U000126,Birmingham,mobile,284,2025-05-08,low,155.1,57.21,0
U000127,Birmingham,mobile,729,2024-02-18,low,57.02,17.89,0
U000128,London,desktop,87,2025-11-21,low,52.16,14.42,0
U000129,Leeds,mobile,0,2026-02-16,low,17.46,6.76,0
U000130,Manchester,mobile,79,2025-11-29,low,32.63,9.35,0
U000131,London,mobile,61,2025-12-17,low,35.28,10.86,1
U000132,London,mobile,271,2025-05-21,low,79.39,22.96,0
U000133,London,mobile,251,2025-06-10,low,61.59,19.28,0
U000134,Birmingham,desktop,225,2025-07-06,low,35.17,10.34,0
U000135,London,desktop,4,2026-02-12,low,63.14,13.23,0
U000136,Leeds,mobile,326,2025-03-27,low,97.31,36.63,0
U000137,Edinburgh,desktop,97,2025-11-11,medium,98.53,28.46,0
U000138,Manchester,mobile,273,2025-05-19,low,25.92,8.24,0
U000139,Cambridge,desktop,203,2025-07-28,low,68.68,15.65,0
U000140,Cambridge,desktop,104,2025-11-04,low,34.44,6.91,0
U000141,London,mobile,36,2026-01-11,low,121.02,30.14,0
U000142,Leeds,desktop,24,2026-01-23,low,113.44,38.67,0
U000143,London,mobile,445,2024-11-28,low,44.97,9.89,1
U000144,London,mobile,626,2024-05-31,low,48.36,18.46,1
U000145,London,desktop,262,2025-05-30,low,57.19,13.9,1
U000146,Glasgow,mobile,27,2026-01-20,low,21.35,5.14,0
U000147,Leeds,mobile,128,2025-10-11,low,88.66,20.95,1
U000148,London,mobile,326,2025-03-27,low,63.43,12.86,0
U000149,London,desktop,378,2025-02-03,medium,125.66,44.53,0
U000150,Birmingham,mobile,31,2026-01-16,low,40.28,15.11,0
U000151,London,mobile,0,2026-02-16,low,52.43,16.93,0
U000152,London,desktop,311,2025-04-11,low,32.18,7.65,0
U000153,Leeds,desktop,110,2025-10-29,low,42.42,10.9,0
U000154,Norwich,mobile,73,2025-12-05,low,38.47,11.36,0
U000155,London,mobile,3,2026-02-13,low,127.46,49.82,0
U000156,Edinburgh,mobile,194,2025-08-06,low,50.2,12.52,0
U000157,Liverpool,mobile,476,2024-10-28,low,78.91,27.33,0
U000158,London,mobile,790,2023-12-19,low,59.77,17.21,0
U000159,Leicester,desktop,208,2025-07-23,low,36.66,9.52,0
U000160,Manchester,mobile,180,2025-08-20,low,67.18,19.56,0
U000161,Glasgow,mobile,22,2026-01-25,low,102.46,21.95,0
U000162,Glasgow,mobile,199,2025-08-01,low,37.93,13.64,0
U000163,Bristol,desktop,119,2025-10-20,low,115.01,28.6,0
U000164,London,mobile,233,2025-06-28,low,46.18,15.94,0
U000165,Birmingham,tablet,123,2025-10-16,low,56.51,12.07,0
U000166,London,mobile,68,2025-12-10,low,98.68,38.59,0
U000167,London,mobile,24,2026-01-23,high,51.17,12.21,0
U000168,London,mobile,94,2025-11-14,low,75.24,28.33,0
U000169,Glasgow,mobile,25,2026-01-22,low,61.99,22.43,0
U000170,Edinburgh,mobile,48,2025-12-30,low,79.13,31.15,0
U000171,London,mobile,1092,2023-02-20,low,19.9,5.88,0
U000172,Leeds,mobile,146,2025-09-23,low,26.94,9.31,0
U000173,London,desktop,189,2025-08-11,low,103.42,28.35,0
U000174,Glasgow,mobile,517,2024-09-17,low,130.38,30.88,0
U000175,London,desktop,1354,2022-06-03,low,44.67,12.89,0
U000176,Edinburgh,mobile,218,2025-07-13,low,64.44,15.02,0
U000177,Manchester,mobile,418,2024-12-25,low,86.67,34.36,0
U000178,Birmingham,mobile,98,2025-11-10,low,107.91,23.66,0
U000179,London,mobile,91,2025-11-17,low,24.16,7.68,0
U000180,London,mobile,128,2025-10-11,low,45.27,14.73,0
U000181,London,mobile,279,2025-05-13,low,61.38,18.88,0
U000182,Birmingham,mobile,286,2025-05-06,low,108.5,36.07,0
U000183,Birmingham,mobile,94,2025-11-14,medium,291.24,65.01,0
U000184,London,mobile,35,2026-01-12,low,65.01,20.22,0
U000185,Edinburgh,desktop,250,2025-06-11,low,33.99,8.75,0
U000186,Birmingham,desktop,34,2026-01-13,low,91.95,35.68,0
U000187,Bristol,desktop,215,2025-07-16,low,152.41,53.71,0
U000188,Bristol,desktop,295,2025-04-27,low,78.21,30.85,0
U000189,London,mobile,301,2025-04-21,low,44.76,9.29,1
U000190,London,mobile,350,2025-03-03,low,124.82,32.08,1
U000191,Birmingham,desktop,515,2024-09-19,low,106.16,25.38,0
U000192,Birmingham,mobile,173,2025-08-27,low,41.92,8.48,0
U000193,Glasgow,mobile,327,2025-03-26,medium,90.9,22.59,1
U000194,London,mobile,241,2025-06-20,low,127.55,42.83,0
U000195,London,mobile,51,2025-12-27,low,141.18,34.76,1
U000196,Leicester,mobile,6,2026-02-10,low,71.05,21.44,0
U000197,Birmingham,desktop,83,2025-11-25,low,60.52,22.85,0
U000198,Birmingham,mobile,146,2025-09-23,low,144.75,49.03,0
U000199,Liverpool,mobile,239,2025-06-22,low,37.88,10.57,0
U000200,Glasgow,tablet,474,2024-10-30,low,93.81,25.75,0
U000201,London,mobile,54,2025-12-24,low,34.69,10.1,0
U000202,London,mobile,33,2026-01-14,medium,132.42,31.17,0
U000203,Birmingham,mobile,827,2023-11-12,low,63.95,20.9,0
U000204,Glasgow,desktop,28,2026-01-19,low,148.08,40.4,0
U000205,London,desktop,162,2025-09-07,medium,96.57,35.78,0
U000206,London,mobile,220,2025-07-11,low,37.61,13.21,0
U000207,Edinburgh,desktop,194,2025-08-06,low,161.35,51.97,0
U000208,London,mobile,22,2026-01-25,low,172.98,47.2,0
U000209,London,desktop,14,2026-02-02,low,119.73,28.97,0
U000210,Bristol,desktop,27,2026-01-20,low,48.48,17.22,0
U000211,Edinburgh,desktop,220,2025-07-11,low,62.28,18.52,0
U000212,Edinburgh,mobile,196,2025-08-04,low,79.84,19.56,0
U000213,London,tablet,66,2025-12-12,low,50.05,11.96,0
U000214,Leicester,desktop,253,2025-06-08,low,186.94,43.57,0
U000215,London,mobile,428,2024-12-15,low,79.79,28.36,0
U000216,London,desktop,10,2026-02-06,low,16.66,4.1,0
U000217,Leicester,mobile,172,2025-08-28,low,88.82,27.12,0
U000218,Glasgow,desktop,292,2025-04-30,low,60.86,17.67,0
U000219,Birmingham,mobile,72,2025-12-06,low,70.72,22.34,0
U000220,Edinburgh,desktop,91,2025-11-17,low,60.18,22.59,1
U000221,Bristol,mobile,237,2025-06-24,low,114.88,42.91,0
U000222,London,mobile,570,2024-07-26,low,136.43,39.59,0
U000223,Manchester,mobile,415,2024-12-28,low,86.11,17.49,0
U000224,London,mobile,218,2025-07-13,low,61.15,17.45,1
U000225,London,mobile,327,2025-03-26,low,72.04,23.14,0
U000226,Cambridge,mobile,113,2025-10-26,low,74.5,23.21,0
U000227,Manchester,mobile,256,2025-06-05,high,47.4,15.66,1
U000228,Birmingham,mobile,156,2025-09-13,low,101.33,23.39,0
U000229,Glasgow,mobile,52,2025-12-26,low,94.92,31.26,0
U000230,Liverpool,desktop,302,2025-04-20,low,171.96,40.67,0
U000231,Leeds,mobile,203,2025-07-28,medium,147.0,51.47,0
U000232,Bristol,desktop,111,2025-10-28,low,50.55,13.54,0
U000233,Leeds,desktop,605,2024-06-21,low,115.72,39.57,0
U000234,London,mobile,5,2026-02-11,low,43.68,9.15,0
U000235,Leicester,mobile,94,2025-11-14,low,108.07,30.43,0
U000236,London,desktop,14,2026-02-02,low,55.47,18.92,0
U000237,London,mobile,363,2025-02-18,low,41.98,10.3,0
U000238,Glasgow,mobile,302,2025-04-20,low,85.97,30.87,0
U000239,London,mobile,100,2025-11-08,medium,16.93,5.52,0
U000240,Birmingham,desktop,281,2025-05-11,medium,28.13,8.93,0
U000241,Birmingham,mobile,126,2025-10-13,low,66.85,18.1,0
U000242,Birmingham,mobile,352,2025-03-01,low,77.12,22.86,0
U000243,Manchester,tablet,151,2025-09-18,low,60.15,19.22,0
U000244,London,desktop,132,2025-10-07,low,30.92,9.1,0
U000245,Birmingham,mobile,682,2024-04-05,low,47.0,15.96,0
U000246,Leeds,mobile,72,2025-12-06,low,91.39,26.21,0
U000247,Cambridge,desktop,32,2026-01-15,low,101.49,24.4,0
U000248,Cambridge,mobile,219,2025-07-12,low,73.05,17.73,0
U000249,Birmingham,mobile,871,2023-09-29,low,139.25,28.01,0
U000250,London,mobile,118,2025-10-21,low,91.7,23.86,0
U000251,Manchester,desktop,16,2026-01-31,low,48.86,17.09,0
U000252,Birmingham,mobile,103,2025-11-05,low,63.16,22.67,0
U000253,London,desktop,176,2025-08-24,low,34.07,8.19,0
U000254,London,desktop,44,2026-01-03,low,69.44,27.21,0
U000255,Bristol,mobile,268,2025-05-24,low,135.86,40.82,0
U000256,Birmingham,mobile,1524,2021-12-15,low,107.44,41.19,0
U000257,Edinburgh,mobile,150,2025-09-19,low,159.35,54.39,0
U000258,Bristol,mobile,109,2025-10-30,low,62.39,21.49,0
U000259,London,mobile,127,2025-10-12,low,154.52,33.53,0
U000260,Glasgow,desktop,30,2026-01-17,low,66.27,16.17,1
U000261,Norwich,mobile,536,2024-08-29,low,165.57,33.41,0
U000262,London,desktop,133,2025-10-06,low,72.82,24.99,0
U000263,Leeds,mobile,122,2025-10-17,medium,108.74,29.24,0
U000264,Birmingham,mobile,269,2025-05-23,low,165.89,59.28,0
U000265,Leicester,mobile,145,2025-09-24,low,66.26,17.74,0
U000266,Edinburgh,mobile,261,2025-05-31,high,83.11,30.24,0
U000267,Edinburgh,desktop,15,2026-02-01,low,149.74,33.86,0
U000268,Manchester,mobile,420,2024-12-23,low,68.5,16.08,0
U000269,London,mobile,705,2024-03-13,low,35.64,9.56,0
U000270,Liverpool,mobile,261,2025-05-31,low,239.52,67.47,0
U000271,Birmingham,mobile,772,2024-01-06,medium,56.92,15.35,0
U000272,Birmingham,mobile,41,2026-01-06,low,80.42,28.37,0
U000273,Birmingham,mobile,162,2025-09-07,low,139.18,30.54,0
U000274,Leeds,tablet,230,2025-07-01,low,52.74,14.25,0
U000275,Leeds,mobile,217,2025-07-14,low,42.34,15.56,1
U000276,Liverpool,desktop,128,2025-10-11,low,84.74,18.08,0
U000277,Glasgow,mobile,103,2025-11-05,low,27.49,10.68,1
U000278,Edinburgh,mobile,33,2026-01-14,medium,62.91,24.99,0
U000279,Liverpool,mobile,124,2025-10-15,low,84.33,18.36,0
U000280,Birmingham,mobile,44,2026-01-03,medium,63.53,16.41,0
U000281,London,mobile,331,2025-03-22,low,31.54,8.66,0
U000282,Manchester,mobile,58,2025-12-20,low,177.11,62.93,0
U000283,London,mobile,15,2026-02-01,low,78.02,24.9,0
U000284,Bristol,mobile,200,2025-07-31,low,161.93,53.25,0
U000285,London,mobile,226,2025-07-05,low,63.88,22.45,0
U000286,Leeds,tablet,513,2024-09-21,low,45.42,10.16,0
U000287,Bristol,mobile,215,2025-07-16,low,85.46,31.33,1
U000288,London,mobile,105,2025-11-03,medium,65.45,22.33,1
U000289,Glasgow,mobile,406,2025-01-06,low,38.56,12.16,1
U000290,London,mobile,194,2025-08-06,low,165.4,62.51,0
U000291,London,mobile,20,2026-01-27,low,52.34,17.8,0
U000292,Birmingham,mobile,208,2025-07-23,medium,26.79,6.44,0
U000293,Manchester,mobile,596,2024-06-30,low,153.01,43.75,0
U000294,London,mobile,126,2025-10-13,low,55.85,16.69,0
U000295,Bristol,mobile,87,2025-11-21,medium,52.76,11.13,0
U000296,Liverpool,mobile,38,2026-01-09,low,27.91,10.91,0
U000297,London,mobile,41,2026-01-06,low,192.0,43.34,0
U000298,Glasgow,mobile,141,2025-09-28,low,36.26,12.31,0
U000299,London,mobile,226,2025-07-05,low,76.11,22.93,0
U000300,London,desktop,21,2026-01-26,low,121.75,24.97,0
U000301,Bristol,mobile,701,2024-03-17,low,92.94,35.78,1
U000302,Bristol,mobile,351,2025-03-02,low,71.32,26.41,0
U000303,Glasgow,mobile,220,2025-07-11,low,28.91,8.81,1
U000304,Leicester,desktop,440,2024-12-03,low,47.21,11.6,0
U000305,Cambridge,mobile,20,2026-01-27,low,81.72,18.33,0
U000306,Leeds,mobile,161,2025-09-08,low,47.8,13.03,0
U000307,London,mobile,248,2025-06-13,low,82.42,20.69,0
U000308,Liverpool,mobile,441,2024-12-02,low,107.23,32.31,0
U000309,London,mobile,382,2025-01-30,low,125.13,49.21,0
U000310,Leeds,mobile,81,2025-11-27,low,37.55,11.83,0
U000311,London,desktop,707,2024-03-11,low,246.7,93.25,0
U000312,London,mobile,33,2026-01-14,low,112.41,37.11,0
U000313,Cambridge,desktop,520,2024-09-14,low,73.63,21.72,0
U000314,Birmingham,tablet,884,2023-09-16,low,134.19,49.77,0
U000315,Edinburgh,mobile,48,2025-12-30,medium,270.69,79.66,0
U000316,Manchester,mobile,320,2025-04-02,low,33.4,12.48,0
U000317,London,mobile,10,2026-02-06,low,65.11,16.82,0
U000318,London,mobile,129,2025-10-10,low,19.92,4.5,0
U000319,London,mobile,181,2025-08-19,low,81.94,30.4,0
U000320,Bristol,desktop,217,2025-07-14,low,90.1,28.61,0
U000321,Leicester,desktop,686,2024-04-01,low,72.13,27.25,0
U000322,Edinburgh,mobile,278,2025-05-14,low,51.42,19.93,1
U000323,London,mobile,164,2025-09-05,low,23.87,5.03,0
U000324,Birmingham,desktop,414,2024-12-29,low,90.51,27.17,0
U000325,Leicester,tablet,751,2024-01-27,low,164.1,45.13,0
U000326,Bristol,desktop,5,2026-02-11,high,53.25,17.31,0
U000327,Glasgow,mobile,1011,2023-05-12,low,93.88,33.68,0
U000328,Manchester,mobile,22,2026-01-25,low,31.11,7.97,0
U000329,London,mobile,421,2024-12-22,low,94.77,29.51,0
U000330,Manchester,mobile,82,2025-11-26,low,59.36,20.29,0
U000331,Liverpool,mobile,35,2026-01-12,low,48.46,10.99,0
U000332,London,mobile,144,2025-09-25,low,48.51,17.6,0
U000333,London,mobile,258,2025-06-03,low,59.35,19.07,0
U000334,London,mobile,119,2025-10-20,low,90.95,35.46,0
U000335,London,mobile,14,2026-02-02,low,35.81,9.59,0
U000336,Birmingham,mobile,228,2025-07-03,low,59.24,13.13,0
U000337,Edinburgh,mobile,581,2024-07-15,low,72.04,21.7,0
U000338,Leeds,mobile,120,2025-10-19,low,40.27,8.74,0
U000339,London,mobile,60,2025-12-18,low,197.98,77.99,0
U000340,Leeds,desktop,146,2025-09-23,low,46.09,9.57,0
U000341,Leeds,mobile,12,2026-02-04,low,51.0,17.89,0
U000342,London,mobile,429,2024-12-14,low,43.03,13.13,0
U000343,Leeds,mobile,437,2024-12-06,low,198.18,54.25,0
U000344,Manchester,desktop,221,2025-07-10,low,99.89,21.29,0
U000345,Glasgow,mobile,108,2025-10-31,low,44.03,14.28,0
U000346,Glasgow,mobile,402,2025-01-10,low,135.43,42.94,0
U000347,London,mobile,202,2025-07-29,high,82.3,21.08,1
U000348,Manchester,mobile,437,2024-12-06,low,84.9,32.44,0
U000349,Glasgow,mobile,249,2025-06-12,low,60.98,15.9,0
U000350,Leeds,mobile,383,2025-01-29,low,48.8,14.15,0
U000351,Birmingham,desktop,228,2025-07-03,low,88.75,27.4,0
U000352,Edinburgh,mobile,133,2025-10-06,low,54.61,12.02,0
U000353,London,desktop,792,2023-12-17,low,200.18,77.36,0
U000354,London,desktop,194,2025-08-06,medium,36.67,10.08,0
U000355,Glasgow,mobile,232,2025-06-29,medium,171.55,37.08,0
U000356,London,desktop,62,2025-12-16,low,69.32,19.23,0
U000357,Glasgow,mobile,245,2025-06-16,low,86.88,27.8,0
U000358,Birmingham,mobile,211,2025-07-20,medium,116.54,35.28,1
U000359,Bristol,mobile,51,2025-12-27,low,52.11,17.66,1
U000360,Manchester,mobile,15,2026-02-01,low,118.55,25.03,0
U000361,Glasgow,mobile,231,2025-06-30,low,16.62,4.27,0
U000362,Leeds,mobile,360,2025-02-21,low,49.6,18.05,0
U000363,Bristol,mobile,185,2025-08-15,low,44.33,9.58,0
U000364,Birmingham,mobile,64,2025-12-14,low,36.99,13.73,0
U000365,Manchester,mobile,274,2025-05-18,low,65.48,14.3,0
U000366,Cambridge,mobile,20,2026-01-27,low,91.12,33.43,0
U000367,Birmingham,mobile,145,2025-09-24,low,108.47,29.52,0
U000368,London,mobile,44,2026-01-03,low,84.14,27.13,0
U000369,London,desktop,50,2025-12-28,medium,51.1,11.78,1
U000370,London,mobile,56,2025-12-22,low,90.28,19.25,0
U000371,London,desktop,122,2025-10-17,low,78.91,19.19,0
U000372,London,mobile,13,2026-02-03,high,123.33,27.82,0
U000373,Edinburgh,mobile,126,2025-10-13,medium,112.99,29.66,1
U000374,London,mobile,179,2025-08-21,low,74.95,22.7,0
U000375,London,mobile,165,2025-09-04,low,44.99,14.3,0
U000376,Birmingham,mobile,120,2025-10-19,low,51.46,18.42,1
U000377,London,desktop,456,2024-11-17,low,54.47,18.04,0
U000378,Birmingham,mobile,39,2026-01-08,medium,61.97,19.94,0
U000379,London,desktop,176,2025-08-24,medium,85.41,24.12,0
U000380,London,desktop,16,2026-01-31,low,109.22,32.19,0
U000381,Edinburgh,desktop,18,2026-01-29,low,71.66,20.27,0
U000382,Glasgow,desktop,213,2025-07-18,low,74.36,27.4,0
U000383,Birmingham,mobile,208,2025-07-23,low,79.74,19.62,0
U000384,Leicester,mobile,526,2024-09-08,low,55.49,11.16,0
U000385,Liverpool,mobile,204,2025-07-27,low,44.3,14.63,0
U000386,London,mobile,803,2023-12-06,low,28.06,6.75,0
U000387,London,mobile,12,2026-02-04,medium,50.28,19.01,1
U000388,Liverpool,desktop,25,2026-01-22,low,95.61,35.55,0
U000389,Liverpool,mobile,11,2026-02-05,low,50.07,10.78,0
U000390,Norwich,mobile,51,2025-12-27,low,64.66,14.31,0
U000391,Manchester,mobile,194,2025-08-06,low,95.25,28.48,0
U000392,Manchester,mobile,259,2025-06-02,low,98.14,31.59,1
U000393,Liverpool,mobile,11,2026-02-05,low,40.7,10.38,0
U000394,London,desktop,729,2024-02-18,high,127.53,43.79,0
U000395,Birmingham,mobile,461,2024-11-12,low,137.01,43.7,0
U000396,Birmingham,mobile,87,2025-11-21,low,39.59,10.49,0
U000397,Leeds,mobile,20,2026-01-27,low,46.85,9.61,0
U000398,Liverpool,mobile,46,2026-01-01,low,141.9,49.67,0
U000399,Liverpool,mobile,33,2026-01-14,medium,67.98,16.52,0
U000400,London,mobile,32,2026-01-15,low,21.74,7.98,0
U000401,Birmingham,mobile,182,2025-08-18,medium,34.13,9.69,0
U000402,Leeds,mobile,70,2025-12-08,low,64.25,20.27,0
U000403,Birmingham,mobile,110,2025-10-29,low,38.87,14.56,0
U000404,London,mobile,1139,2023-01-04,low,58.71,21.88,0
U000405,Birmingham,mobile,288,2025-05-04,medium,75.02,20.58,0
U000406,Manchester,mobile,743,2024-02-04,low,164.72,39.83,0
U000407,London,mobile,38,2026-01-09,low,62.82,22.3,0
U000408,Birmingham,tablet,120,2025-10-19,low,132.94,38.1,0
U000409,London,mobile,202,2025-07-29,medium,161.71,38.55,0
U000410,London,mobile,19,2026-01-28,low,162.21,61.78,0
U000411,Birmingham,mobile,1,2026-02-15,low,86.2,20.65,1
U000412,Birmingham,mobile,277,2025-05-15,low,25.03,5.14,0
U000413,Bristol,mobile,256,2025-06-05,low,94.96,19.38,0
